actionmailer, 4.0.3, MIT
actionpack, 4.0.3, MIT
activemodel, 4.0.3, MIT
activerecord, 4.0.3, MIT
activerecord-deprecated_finders, 1.0.3, MIT
activesupport, 4.0.3, MIT
arel, 4.0.2, MIT
atomic, 1.1.14, Apache-2.0
builder, 3.1.4, MIT
bundler, 1.5.3, MIT
ejs, 1.1.1, MIT
erubis, 2.7.0, MIT
execjs, 2.0.2, MIT
hike, 1.2.3, MIT
i18n, 0.6.9, MIT
jquery-rails, 3.1.0, MIT
json, 1.8.1, other
mail, 2.5.4, MIT
mime-types, 1.25.1, other
minitest, 4.7.5, other
multi_json, 1.8.4, MIT
pg, 0.17.1, other
polyglot, 0.3.4, MIT
rack, 1.5.2, MIT
rack-test, 0.6.2, MIT
rails, 4.0.3, MIT
rails_12factor, 0.0.2, LICENSE
rails_serve_static_assets, 0.0.2, LICENSE
rails_stdout_logging, 0.0.3, MIT
railties, 4.0.3, MIT
rake, 10.1.1, MIT
sass, 3.2.14, MIT
sass-rails, 4.0.1, MIT
sprockets, 2.10.1, MIT
sprockets-rails, 2.0.1, MIT
thor, 0.18.1, MIT
thread_safe, 0.1.3, Apache-2.0
tilt, 1.4.1, MIT
treetop, 1.4.15, MIT
trueskill, 1.0.0, MIT
tzinfo, 0.3.38, MIT
uglifier, 2.4.0, MIT
